readTime, sendTime
1696,72
1696,72
1696,72
1696,72
1696,72
1688,76
1692,72
1688,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,76
1692,72
1688,72
1700,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,72
1692,72
1688,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,76
1692,72
1688,72
1708,72
1696,72
1696,72
1696,72
1696,72
1680,72
1696,72
1688,72
1688,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,72
1688,72
1696,72
1696,72
1696,72
1696,72
1688,76
1696,72
1696,72
1688,76
1688,72
1696,72
1696,72
1696,72
1688,76
1696,72
1696,72
1696,72
1688,80
1692,72
1696,72
1696,72
1696,72
1696,72
1680,72
1696,72
1696,72
1688,80
1692,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,76
1688,72
1700,72
1696,72
1696,72
1696,72
1680,76
1696,72
1696,72
1688,76
1688,72
1688,72
1700,72
1688,76
1696,72
1696,72
1696,72
1696,72
1688,76
1688,72
1692,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,80
1692,72
1688,72
1700,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,72
1692,72
1688,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,76
1692,72
1688,72
1700,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,76
1692,72
1688,72
1704,72
1696,72
1696,72
1696,72
1680,72
1696,72
1696,72
1688,72
1692,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,72
1688,72
1696,72
1696,72
1696,72
1680,72
1696,72
1696,72
1696,72
1688,76
1692,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1696,72
1688,80
1692,72
1696,72
1696,72
1688,76
1696,72
1696,72
1696,72
1696,72
1688,76
1688,72
1700,72
1696,72
1680,72
1696,72
1696,72
1696,72
1696,72
1688,76
1688,72
1688,72
1700,72
1680,72
